משתנה,תאריך,חיפה בתי זיקוק                                    (600)
טמפרטורת מקסימום(C°),25-05-2012,32.9
טמפרטורת מינימום(C°),25-05-2012,16.3
טמפרטורת מינימום ליד הקרקע(C°),25-05-2012,-
טמפרטורת מקסימום(C°),26-05-2012,26.4
טמפרטורת מינימום(C°),26-05-2012,19.0
טמפרטורת מינימום ליד הקרקע(C°),26-05-2012,-
טמפרטורת מקסימום(C°),27-05-2012,25.9
טמפרטורת מינימום(C°),27-05-2012,18.2
טמפרטורת מינימום ליד הקרקע(C°),27-05-2012,-
טמפרטורת מקסימום(C°),28-05-2012,35.8
טמפרטורת מינימום(C°),28-05-2012,18.1
טמפרטורת מינימום ליד הקרקע(C°),28-05-2012,-
טמפרטורת מקסימום(C°),29-05-2012,30.5
טמפרטורת מינימום(C°),29-05-2012,22.0
טמפרטורת מינימום ליד הקרקע(C°),29-05-2012,-
טמפרטורת מקסימום(C°),30-05-2012,27.5
טמפרטורת מינימום(C°),30-05-2012,20.5
טמפרטורת מינימום ליד הקרקע(C°),30-05-2012,-
טמפרטורת מקסימום(C°),31-05-2012,27.1
טמפרטורת מינימום(C°),31-05-2012,17.3
טמפרטורת מינימום ליד הקרקע(C°),31-05-2012,-
טמפרטורת מקסימום(C°),01-06-2012,28.2
טמפרטורת מינימום(C°),01-06-2012,17.3
טמפרטורת מינימום ליד הקרקע(C°),01-06-2012,-
טמפרטורת מקסימום(C°),02-06-2012,27.0
טמפרטורת מינימום(C°),02-06-2012,16.9
טמפרטורת מינימום ליד הקרקע(C°),02-06-2012,-
טמפרטורת מקסימום(C°),03-06-2012,28.4
טמפרטורת מינימום(C°),03-06-2012,17.6
טמפרטורת מינימום ליד הקרקע(C°),03-06-2012,-
טמפרטורת מקסימום(C°),04-06-2012,30.7
טמפרטורת מינימום(C°),04-06-2012,21.5
טמפרטורת מינימום ליד הקרקע(C°),04-06-2012,-
טמפרטורת מקסימום(C°),05-06-2012,29.0
טמפרטורת מינימום(C°),05-06-2012,19.7
טמפרטורת מינימום ליד הקרקע(C°),05-06-2012,-
טמפרטורת מקסימום(C°),06-06-2012,30.0
טמפרטורת מינימום(C°),06-06-2012,21.2
טמפרטורת מינימום ליד הקרקע(C°),06-06-2012,-
טמפרטורת מקסימום(C°),07-06-2012,32.1
טמפרטורת מינימום(C°),07-06-2012,18.5
טמפרטורת מינימום ליד הקרקע(C°),07-06-2012,-
טמפרטורת מקסימום(C°),08-06-2012,27.6
טמפרטורת מינימום(C°),08-06-2012,18.3
טמפרטורת מינימום ליד הקרקע(C°),08-06-2012,-
טמפרטורת מקסימום(C°),09-06-2012,29.1
טמפרטורת מינימום(C°),09-06-2012,19.9
טמפרטורת מינימום ליד הקרקע(C°),09-06-2012,-
טמפרטורת מקסימום(C°),10-06-2012,29.3
טמפרטורת מינימום(C°),10-06-2012,21.0
טמפרטורת מינימום ליד הקרקע(C°),10-06-2012,-
טמפרטורת מקסימום(C°),11-06-2012,32.6
טמפרטורת מינימום(C°),11-06-2012,22.0
טמפרטורת מינימום ליד הקרקע(C°),11-06-2012,-
טמפרטורת מקסימום(C°),12-06-2012,31.8
טמפרטורת מינימום(C°),12-06-2012,19.1
טמפרטורת מינימום ליד הקרקע(C°),12-06-2012,-
טמפרטורת מקסימום(C°),13-06-2012,30.5
טמפרטורת מינימום(C°),13-06-2012,19.7
טמפרטורת מינימום ליד הקרקע(C°),13-06-2012,-
טמפרטורת מקסימום(C°),14-06-2012,29.4
טמפרטורת מינימום(C°),14-06-2012,22.0
טמפרטורת מינימום ליד הקרקע(C°),14-06-2012,-
טמפרטורת מקסימום(C°),15-06-2012,30.6
טמפרטורת מינימום(C°),15-06-2012,24.6
טמפרטורת מינימום ליד הקרקע(C°),15-06-2012,-
טמפרטורת מקסימום(C°),16-06-2012,34.4
טמפרטורת מינימום(C°),16-06-2012,24.0
טמפרטורת מינימום ליד הקרקע(C°),16-06-2012,-
טמפרטורת מקסימום(C°),17-06-2012,32.2
טמפרטורת מינימום(C°),17-06-2012,22.1
טמפרטורת מינימום ליד הקרקע(C°),17-06-2012,-
טמפרטורת מקסימום(C°),18-06-2012,32.7
טמפרטורת מינימום(C°),18-06-2012,24.5
טמפרטורת מינימום ליד הקרקע(C°),18-06-2012,-
טמפרטורת מקסימום(C°),19-06-2012,32.9
טמפרטורת מינימום(C°),19-06-2012,23.6
טמפרטורת מינימום ליד הקרקע(C°),19-06-2012,-
טמפרטורת מקסימום(C°),20-06-2012,32.1
טמפרטורת מינימום(C°),20-06-2012,23.0
טמפרטורת מינימום ליד הקרקע(C°),20-06-2012,-
טמפרטורת מקסימום(C°),21-06-2012,32.2
טמפרטורת מינימום(C°),21-06-2012,24.3
טמפרטורת מינימום ליד הקרקע(C°),21-06-2012,-
טמפרטורת מקסימום(C°),22-06-2012,33.3
טמפרטורת מינימום(C°),22-06-2012,22.4
טמפרטורת מינימום ליד הקרקע(C°),22-06-2012,-
טמפרטורת מקסימום(C°),23-06-2012,33.4
טמפרטורת מינימום(C°),23-06-2012,22.7
טמפרטורת מינימום ליד הקרקע(C°),23-06-2012,-
טמפרטורת מקסימום(C°),24-06-2012,32.1
טמפרטורת מינימום(C°),24-06-2012,21.5
טמפרטורת מינימום ליד הקרקע(C°),24-06-2012,-
טמפרטורת מקסימום(C°),25-06-2012,31.8
טמפרטורת מינימום(C°),25-06-2012,23.4
טמפרטורת מינימום ליד הקרקע(C°),25-06-2012,-
טמפרטורת מקסימום(C°),26-06-2012,32.6
טמפרטורת מינימום(C°),26-06-2012,23.9
טמפרטורת מינימום ליד הקרקע(C°),26-06-2012,-
טמפרטורת מקסימום(C°),27-06-2012,32.6
טמפרטורת מינימום(C°),27-06-2012,24.4
טמפרטורת מינימום ליד הקרקע(C°),27-06-2012,-
טמפרטורת מקסימום(C°),28-06-2012,32.9
טמפרטורת מינימום(C°),28-06-2012,24.2
טמפרטורת מינימום ליד הקרקע(C°),28-06-2012,-
טמפרטורת מקסימום(C°),29-06-2012,32.8
טמפרטורת מינימום(C°),29-06-2012,22.9
טמפרטורת מינימום ליד הקרקע(C°),29-06-2012,-
טמפרטורת מקסימום(C°),30-06-2012,32.2
טמפרטורת מינימום(C°),30-06-2012,24.7
טמפרטורת מינימום ליד הקרקע(C°),30-06-2012,-
טמפרטורת מקסימום(C°),01-07-2012,34.8
טמפרטורת מינימום(C°),01-07-2012,23.6
טמפרטורת מינימום ליד הקרקע(C°),01-07-2012,-
טמפרטורת מקסימום(C°),02-07-2012,33.5
טמפרטורת מינימום(C°),02-07-2012,21.5
טמפרטורת מינימום ליד הקרקע(C°),02-07-2012,-
טמפרטורת מקסימום(C°),03-07-2012,33.8
טמפרטורת מינימום(C°),03-07-2012,23.3
